_start,_stop,_time,_value,_field,_measurement,group,line,machine,site,tagName,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:40:00Z,870.3999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:41:00Z,870.3999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:42:00Z,870.3999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:43:00Z,879.8142857142855,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:44:00Z,939.8608695652174,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:45:00Z,942.5,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:46:00Z,929.2454545454547,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:47:00Z,890.5304347826087,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:48:00Z,891.8999999999999,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
2025-02-17T16:29:17.3176487Z,2025-02-17T22:29:17.3176487Z,2025-02-17T16:49:00Z,896.2227272727268,value,weight,Heads,Mtn,Filler,56Aintree,Net_Weight_Head_2,
